unix_time,pm2.5,Car,Motor
2022-04-18 19:40:00,29.016666666666666,110,119
2022-04-18 19:50:00,28.333333333333332,98,120
2022-04-18 20:00:00,26.933333333333334,110,156
2022-04-18 20:10:00,27.383333333333333,90,124
2022-04-18 20:20:00,28.016666666666666,124,124
2022-04-18 20:30:00,23.216666666666665,126,120
2022-04-18 20:40:00,25.316666666666666,87,122
2022-04-18 20:50:00,28.4,96,120
2022-04-18 21:00:00,27.216666666666665,134,146
2022-04-18 21:10:00,25.616666666666667,145,107
2022-04-18 21:20:00,22.716666666666665,111,139
2022-04-18 21:30:00,22.05,156,114
2022-04-18 21:40:00,24.262295081967213,113,135
2022-04-18 21:50:00,23.084745762711865,117,110
2022-04-18 22:00:00,29.901639344262296,114,124
2022-04-18 22:10:00,29.661016949152543,138,98
2022-04-18 22:20:00,33.9,145,109
2022-04-18 22:30:00,31.85,111,119
2022-04-18 22:40:00,34.416666666666664,112,150
2022-04-18 22:50:00,31.766666666666666,85,106
2022-04-18 23:00:00,29.233333333333334,91,120
2022-04-18 23:10:00,27.516666666666666,93,101
2022-04-18 23:20:00,29.1,92,126
2022-04-18 23:30:00,24.9,109,142
2022-04-18 23:40:00,25.233333333333334,107,116
2022-04-18 23:50:00,25.75,110,79
2022-04-19 00:00:00,25.583333333333332,107,82
2022-04-19 00:10:00,24.5,91,94
2022-04-19 00:20:00,26.2,115,117
2022-04-19 00:30:00,24.183333333333334,97,90
2022-04-19 00:40:00,20.566666666666666,94,63
2022-04-19 00:50:00,19.5,81,81
2022-04-19 01:00:00,21.483333333333334,90,69
2022-04-19 01:10:00,23.45,76,95
2022-04-19 01:20:00,21.483333333333334,80,79
2022-04-19 01:30:00,23.414634146341463,65,77
2022-04-19 01:40:00,30.316666666666666,63,74
2022-04-19 01:50:00,22.583333333333332,67,54
2022-04-19 02:00:00,31.065573770491802,97,114
2022-04-19 02:10:00,22.316666666666666,70,94
2022-04-19 02:20:00,24.35593220338983,77,74
2022-04-19 02:30:00,30.116666666666667,59,81
2022-04-19 02:40:00,27.1,74,89
2022-04-19 02:50:00,26.183333333333334,71,84
2022-04-19 03:00:00,31.316666666666666,62,80
2022-04-19 03:10:00,34.71666666666667,157,139
2022-04-19 03:20:00,35.06666666666667,82,84
2022-04-19 03:30:00,34.28333333333333,88,86
2022-04-19 03:40:00,37.05,91,68
2022-04-19 03:50:00,37.016666666666666,79,89
2022-04-19 04:00:00,41.15,74,97
2022-04-19 04:10:00,43.233333333333334,92,82
2022-04-19 04:20:00,39.59016393442623,74,97
2022-04-19 04:30:00,40.69491525423729,92,82
2022-04-19 04:40:00,44.266666666666666,134,91
2022-04-19 04:50:00,47.36666666666667,92,83
2022-04-19 05:00:00,50.63333333333333,67,83
2022-04-19 05:10:00,51.81666666666667,117,106
2022-04-19 05:20:00,45.36666666666667,67,129
2022-04-19 05:30:00,42.43333333333333,135,92
2022-04-19 05:40:00,41.63333333333333,247,120
2022-04-19 05:50:00,43.88333333333333,145,103
2022-04-19 06:00:00,42.6,182,100
2022-04-19 06:10:00,43.377049180327866,195,115
2022-04-19 06:20:00,43.16949152542373,168,140
2022-04-19 06:30:00,42.47540983606557,168,140
2022-04-19 06:40:00,43.355932203389834,226,154
2022-04-19 06:50:00,44.416666666666664,202,146
2022-04-19 07:00:00,44.516666666666666,210,165
2022-04-19 07:10:00,43.11666666666667,224,249
2022-04-19 07:20:00,41.983333333333334,289,232
2022-04-19 07:30:00,37.03333333333333,168,140
2022-04-19 07:40:00,36.03333333333333,226,154
2022-04-19 07:50:00,31.5,202,146
2022-04-19 08:00:00,25.516666666666666,210,165
